CUSTOMER_ID,NAME,CITY,SIGNUP_DATE,TARIFF_ID
9711,Süleyman,KARABÜK,04/08/2025,1
9712,Merve,ADIYAMAN,20/06/2025,3
9713,Hacer,TRABZON,01/06/2025,2
9714,Özlem,KOCAELİ,16/03/2026,2
9715,Özlem,KIRŞEHİR,28/09/2025,2
9716,Elif,BARTIN,21/11/2025,1
9717,Merve,DÜZCE,05/09/2025,1
9718,Tuğba,MANİSA,08/12/2025,1
9719,Songül,AMASYA,03/05/2025,3
9720,Yasemin,MARDİN,17/02/2026,4
9721,Meryem,SİNOP,15/02/2026,1
9722,Aysel,GAZİANTEP,07/06/2025,2
9723,Yasemin,MUŞ,14/01/2026,2
9724,Özlem,TOKAT,06/10/2025,1
9725,Leyla,ESKİŞEHİR,01/02/2026,3
9726,Sevim,DÜZCE,21/04/2025,4
9727,Esra,ADANA,07/09/2025,1
9728,İbrahim,ANKARA,19/10/2025,3
9729,Ahmet,KARS,21/01/2026,3
9730,Sultan,AYDIN,25/08/2025,3
9731,Yağmur,ANKARA,12/12/2025,1
9732,Aysel,KOCAELİ,05/12/2025,1
9733,Hülya,BATMAN,28/08/2025,2
9734,Meryem,DENİZLİ,14/02/2026,1
9735,Fatih,SAMSUN,08/02/2026,4
9736,Emine,MUŞ,28/01/2026,3
9737,Yağmur,DÜZCE,18/12/2025,1
9738,Recep,AĞRI,28/12/2025,1
9739,Serkan,KİLİS,06/11/2025,1
9740,İbrahim,AKSARAY,24/07/2025,2
9741,Ayşe,KONYA,22/08/2025,2
9742,Özlem,HAKKARİ,04/08/2025,4
9743,Fatma,BİNGÖL,10/07/2025,3
9744,İbrahim,KIRKLARELİ,23/02/2026,4
9745,Elif,TEKİRDAĞ,08/03/2026,4
9746,Emine,BURDUR,31/10/2025,2
9747,Abdullah,ORDU,29/08/2025,3
9748,Emre,ADANA,27/11/2025,2
9749,Halil,AĞRI,29/05/2025,4
9750,Recep,RİZE,25/04/2025,2
9751,Kübra,GAZİANTEP,20/05/2025,3
9752,Furkan,AFYONKARAHİSAR,10/12/2025,1
9753,Yusuf,TRABZON,15/07/2025,4
9754,Hülya,BARTIN,07/03/2026,4
9755,Sultan,KARAMAN,06/06/2025,2
9756,Esra,ANTALYA,26/03/2026,4
9757,Ali,İSTANBUL,26/12/2025,4
9758,Rabia,UŞAK,15/09/2025,4
9759,İbrahim,TOKAT,14/09/2025,1
9760,Büşra,SİNOP,31/07/2025,4
9761,Ömer,ANTALYA,09/04/2025,3
9762,Ömer,SAKARYA,08/10/2025,1
9763,Emine,KIRIKKALE,08/05/2025,3
9764,Rabia,VAN,25/07/2025,1
9765,Leyla,KARS,21/08/2025,1
9766,Zehra,AKSARAY,30/11/2025,3
9767,Elif,KIRKLARELİ,20/11/2025,1
9768,Ali,MANİSA,12/05/2025,2
9769,Hülya,İSTANBUL,26/11/2025,1
9770,Fatih,MERSİN,16/08/2025,2
9771,Ayşegül,KARABÜK,11/10/2025,4
9772,Büşra,SİVAS,25/06/2025,1
9773,Aysel,KONYA,16/04/2025,1
9774,Tuğba,BURSA,11/12/2025,1
9775,Ahmet,KOCAELİ,02/08/2025,3
9776,Merve,KİLİS,09/09/2025,3
9777,Sevim,DİYARBAKIR,23/06/2025,4
9778,Yağmur,SAKARYA,09/06/2025,2
9779,Melek,BAYBURT,09/10/2025,2
9780,Havva,BATMAN,24/04/2025,3
9781,Hülya,MALATYA,11/11/2025,4
9782,Enes,MANİSA,28/11/2025,3
9783,Yasemin,KARS,12/02/2026,3
9784,Serkan,İZMİR,01/11/2025,1
9785,Elif,ERZURUM,20/11/2025,2
9786,Sevim,BALIKESİR,11/06/2025,2
9787,Mahmut,MARDİN,21/12/2025,2
9788,Merve,EDİRNE,17/06/2025,2
9789,İsmail,SAMSUN,13/05/2025,2
9790,Elif,ISPARTA,15/03/2026,3
9791,Songül,DENİZLİ,28/05/2025,4
9792,Hülya,MUŞ,31/08/2025,3
9793,Mahmut,AFYONKARAHİSAR,21/01/2026,2
9794,Fatma,DİYARBAKIR,24/08/2025,4
9795,Kübra,MERSİN,09/08/2025,3
9796,Aynur,BİNGÖL,06/01/2026,4
9797,Süleyman,AĞRI,04/10/2025,2
9798,Ramazan,GİRESUN,05/10/2025,1
9799,Kadir,SİVAS,29/08/2025,3
9800,Merve,TOKAT,06/02/2026,1
9801,Burak,MALATYA,29/11/2025,1
9802,Serkan,ESKİŞEHİR,06/07/2025,4
9803,Mahmut,ORDU,15/07/2025,3
9804,Kadir,KİLİS,30/01/2026,2
9805,Emre,KIRIKKALE,06/03/2026,4
9806,Merve,OSMANİYE,06/01/2026,2
9807,Osman,GİRESUN,27/11/2025,1
9808,Mahmut,KİLİS,18/11/2025,4
9809,İsmail,TUNCELİ,09/08/2025,3
9810,Hüseyin,BATMAN,21/11/2025,4
9811,Osman,GİRESUN,14/09/2025,4
9812,Zeynep,UŞAK,12/09/2025,2
9813,Esra,KARAMAN,16/05/2025,2
9814,Burak,KARAMAN,29/01/2026,3
9815,Sevim,AĞRI,27/07/2025,4
9816,Yağmur,ŞIRNAK,03/08/2025,4
9817,Özlem,HAKKARİ,27/04/2025,2
9818,Meryem,ESKİŞEHİR,18/08/2025,3
9819,Abdullah,İSTANBUL,05/05/2025,1
9820,Yasin,RİZE,18/10/2025,4
9821,Emre,NEVŞEHİR,15/04/2025,1
9822,Abdullah,KIRŞEHİR,13/09/2025,4
9823,Yasin,DÜZCE,21/03/2026,1
9824,Murat,VAN,19/11/2025,2
9825,Muhammed,İSTANBUL,13/02/2026,3
9826,Burak,TEKİRDAĞ,28/02/2026,2
9827,Adem,ÇORUM,05/04/2026,2
9828,Adem,ERZİNCAN,24/09/2025,2
9829,Zehra,ELAZIĞ,06/11/2025,2
9830,Dilek,EDİRNE,15/01/2026,1
9831,Ömer,GAZİANTEP,12/06/2025,1
9832,Ayşe,KASTAMONU,19/10/2025,2
9833,Halil,AKSARAY,22/03/2026,4
9834,Yağmur,ISPARTA,11/01/2026,2
9835,Fadime,BURSA,05/11/2025,2
9836,Rabia,VAN,26/06/2025,3
9837,Fadime,AMASYA,22/03/2026,2
9838,Hakan,BAYBURT,28/12/2025,4
9839,Büşra,KAHRAMANMARAŞ,10/10/2025,2
9840,Murat,KIRKLARELİ,03/10/2025,1
9841,Burak,BARTIN,30/03/2026,4
9842,Murat,GİRESUN,04/10/2025,4
9843,Meryem,KIRKLARELİ,20/10/2025,1
9844,Özlem,KİLİS,30/12/2025,2
9845,Burak,GÜMÜŞHANE,27/04/2025,1
9846,Tuğba,ŞANLIURFA,25/02/2026,1
9847,Rabia,ÇANAKKALE,27/01/2026,4
9848,Ömer,KARAMAN,26/06/2025,2
9849,Elif,SAKARYA,10/05/2025,1
9850,Melek,KAYSERİ,18/05/2025,2
9851,Zehra,ÇORUM,01/07/2025,3
9852,Serkan,ERZİNCAN,26/07/2025,1
9853,Ayşe,MARDİN,31/08/2025,4
9854,Dilek,ESKİŞEHİR,13/05/2025,2
9855,Yusuf,AYDIN,20/03/2026,3
9856,Yağmur,BALIKESİR,13/04/2025,3
9857,Hacer,ERZİNCAN,10/08/2025,1
9858,Melek,KONYA,31/07/2025,3
9859,Mahmut,ANTALYA,07/04/2025,3
9860,Ayşe,ZONGULDAK,23/10/2025,2
9861,Fadime,ÇANKIRI,23/01/2026,2
9862,Aynur,KARABÜK,21/09/2025,3
9863,Yasemin,ZONGULDAK,29/05/2025,2
9864,Muhammed,DİYARBAKIR,04/09/2025,1
9865,İbrahim,AMASYA,23/04/2025,4
9866,Melek,BOLU,16/10/2025,4
9552,Zehra,KAYSERİ,11/03/2026,4
9553,Emine,ADANA,22/03/2026,4
9554,Murat,MANİSA,23/09/2025,4
9555,Kübra,ŞANLIURFA,27/12/2025,2
9556,Mehmet,OSMANİYE,30/03/2026,4
9557,Enes,ARDAHAN,04/05/2025,2
9558,Yasin,ANKARA,22/04/2025,2
9559,Enes,GAZİANTEP,02/06/2025,4
9560,Ali,UŞAK,01/07/2025,4
9561,Recep,KOCAELİ,23/05/2025,1
9562,Recep,IĞDIR,27/09/2025,3
9563,Songül,AMASYA,05/01/2026,4
9564,Sultan,ŞIRNAK,13/02/2026,2
9565,Mustafa,AFYONKARAHİSAR,26/03/2026,2
9566,Yasemin,ELAZIĞ,12/10/2025,1
9567,Ayşegül,AMASYA,25/09/2025,1
9568,Halil,BURDUR,16/05/2025,3
9569,Hülya,ESKİŞEHİR,06/07/2025,1
9570,Süleyman,ARDAHAN,19/12/2025,3
9571,Aysel,SAKARYA,22/12/2025,4
9572,Adem,BALIKESİR,22/07/2025,3
9573,Serkan,BOLU,07/12/2025,4
9574,Murat,SAMSUN,03/05/2025,2
9575,İsmail,ZONGULDAK,17/03/2026,1
9576,Fadime,ANTALYA,25/09/2025,2
9577,Enes,BURDUR,20/02/2026,1
9578,Kadir,MANİSA,24/03/2026,3
9579,Tuğba,MUĞLA,04/09/2025,1
9580,Sultan,ERZİNCAN,30/09/2025,2
9581,Emre,İZMİR,28/08/2025,4
9582,Özlem,AĞRI,04/02/2026,2
9583,Enes,RİZE,07/02/2026,4
9584,Metin,MUŞ,24/08/2025,4
9585,Havva,NEVŞEHİR,02/04/2026,4
9586,Mahmut,BURDUR,24/06/2025,2
9587,Yasin,MERSİN,28/03/2026,1
9588,Songül,ERZURUM,06/06/2025,4
9589,Enes,BATMAN,20/01/2026,4
9590,Kadir,AMASYA,22/03/2026,4
9591,Hatice,MERSİN,28/05/2025,4
9592,Recep,KASTAMONU,09/09/2025,2
9593,Fatih,NİĞDE,05/01/2026,4
9594,Melek,KİLİS,28/06/2025,1
9595,Zeynep,MALATYA,09/03/2026,3
9596,Sultan,UŞAK,16/07/2025,4
9597,Sultan,ADIYAMAN,26/04/2025,1
9598,Halil,DÜZCE,30/06/2025,4
9599,Murat,ISPARTA,05/01/2026,1
9600,Büşra,YALOVA,08/08/2025,3
9601,Abdullah,MUĞLA,14/12/2025,3
9602,Ayşe,SİNOP,25/08/2025,4
9603,Merve,YALOVA,23/04/2025,2
9604,Osman,ERZURUM,08/04/2025,3
9605,Recep,GAZİANTEP,19/03/2026,1
9606,Büşra,ARTVİN,10/12/2025,4
9607,Murat,AYDIN,27/04/2025,3
9608,Mehmet,KONYA,07/12/2025,1
9609,Hüseyin,AĞRI,06/05/2025,1
9610,Ayşegül,NEVŞEHİR,07/06/2025,4
9611,Ramazan,UŞAK,14/01/2026,4
9612,Serkan,ERZURUM,31/12/2025,2
9613,Osman,ZONGULDAK,03/02/2026,1
9614,Murat,ISPARTA,20/05/2025,4
9615,Osman,NİĞDE,04/09/2025,3
9616,Abdullah,ANTALYA,01/11/2025,1
9617,Yusuf,ŞANLIURFA,12/04/2025,4
9618,Sevim,GAZİANTEP,19/07/2025,4
9619,Hülya,KOCAELİ,02/05/2025,2
9620,Sevim,İSTANBUL,08/03/2026,3
9621,Yağmur,MUĞLA,03/12/2025,4
9622,Tuğba,BURDUR,08/02/2026,2
9623,Yasemin,BARTIN,10/02/2026,2
9624,Muhammed,İSTANBUL,12/07/2025,1
9625,Ali,KAYSERİ,15/08/2025,4
9626,Fadime,BURDUR,24/06/2025,2
9627,Yasemin,ÇORUM,16/11/2025,4
9628,Hüseyin,ZONGULDAK,21/04/2025,2
9629,Osman,RİZE,27/12/2025,4
9630,Songül,GİRESUN,10/08/2025,4
9631,Merve,KONYA,11/08/2025,4
9632,Büşra,GİRESUN,12/11/2025,2
9633,Emre,İSTANBUL,02/11/2025,3
9634,Süleyman,BURDUR,16/11/2025,3
9635,Enes,ZONGULDAK,26/10/2025,3
9636,Hasan,AMASYA,16/01/2026,3
9637,Yağmur,ÇORUM,23/04/2025,4
9638,Süleyman,KİLİS,11/01/2026,3
9639,Ali,KAHRAMANMARAŞ,29/03/2026,2
9640,Yasemin,VAN,14/09/2025,3
9641,Aysel,KONYA,27/09/2025,2
9642,Adem,MANİSA,03/02/2026,4
9643,Ayşegül,EDİRNE,26/02/2026,3
9644,Murat,ANTALYA,24/06/2025,2
9645,Rabia,YOZGAT,13/07/2025,2
9646,Mahmut,SAKARYA,15/02/2026,3
9647,Hülya,ELAZIĞ,23/05/2025,4
9648,Kübra,BOLU,23/09/2025,4
9649,Sevim,BARTIN,13/11/2025,4
9650,Burak,IĞDIR,15/01/2026,4
9651,Rabia,ŞIRNAK,06/05/2025,4
9652,Ayşegül,ARTVİN,03/05/2025,1
9653,Özlem,KARABÜK,20/09/2025,4
9654,Emine,ANTALYA,25/04/2025,1
9655,Recep,HATAY,20/05/2025,3
9656,Enes,DÜZCE,08/05/2025,3
9657,Fatih,NİĞDE,18/07/2025,3
9658,Sevim,ŞANLIURFA,30/03/2026,3
9659,Ramazan,SAKARYA,25/07/2025,4
9660,Merve,HATAY,10/11/2025,2
9661,Furkan,RİZE,29/05/2025,3
9662,Hasan,ANTALYA,10/12/2025,4
9663,Elif,SİNOP,16/02/2026,3
9664,Ramazan,SİNOP,15/01/2026,1
9665,Elif,SİİRT,23/09/2025,4
9666,Sevim,TEKİRDAĞ,22/07/2025,4
9667,Fatih,YOZGAT,12/03/2026,4
9668,Dilek,ANKARA,23/06/2025,4
9669,Leyla,SİVAS,22/07/2025,1
9670,Fadime,SİNOP,06/10/2025,1
9671,Zeynep,ÇORUM,20/03/2026,2
9672,Burak,SAMSUN,08/05/2025,2
9673,Abdullah,ŞIRNAK,29/01/2026,3
9674,Özlem,BOLU,24/07/2025,4
9675,Ramazan,HAKKARİ,24/09/2025,2
9676,Yağmur,ESKİŞEHİR,29/11/2025,2
9677,Osman,ESKİŞEHİR,14/03/2026,1
9678,Ömer,KIRIKKALE,12/01/2026,3
9679,Elif,BİTLİS,12/01/2026,1
9680,Sevim,SİNOP,06/01/2026,1
9681,Aysel,BARTIN,10/02/2026,1
9682,Hasan,GAZİANTEP,01/08/2025,2
9683,Adem,BİTLİS,19/03/2026,2
9684,Songül,BALIKESİR,21/02/2026,2
9685,Melek,BİTLİS,10/05/2025,4
9686,Muhammed,ŞANLIURFA,03/04/2026,4
9687,Recep,KAYSERİ,11/04/2025,2
9688,Fadime,ŞIRNAK,11/05/2025,2
9689,Yasin,AĞRI,21/10/2025,3
9690,Ali,ŞIRNAK,25/06/2025,2
9691,Sultan,SİNOP,15/01/2026,3
9692,Osman,KIRŞEHİR,22/09/2025,2
9693,Zeynep,ANTALYA,21/12/2025,3
9694,Aynur,ADANA,03/09/2025,4
9695,Ahmet,VAN,08/01/2026,3
9696,Aynur,MERSİN,06/03/2026,4
9697,Merve,ÇORUM,15/11/2025,2
9698,Hatice,BOLU,25/12/2025,3
9699,Hülya,ANKARA,04/02/2026,4
9700,Abdullah,DENİZLİ,17/06/2025,2
9701,Aysel,SAMSUN,26/05/2025,4
9702,Muhammed,MUŞ,14/12/2025,1
9703,Yağmur,MALATYA,18/01/2026,4
9704,Melek,DÜZCE,25/01/2026,4
9705,Yasin,ÇANAKKALE,22/01/2026,3
9706,Enes,NEVŞEHİR,20/01/2026,3
9707,Hatice,KÜTAHYA,20/02/2026,2
9708,Melek,TEKİRDAĞ,08/02/2026,1
9709,Furkan,MALATYA,04/04/2026,3
9710,Fatma,KARAMAN,02/11/2025,2
9395,Ahmet,MUŞ,23/04/2025,4
9396,İsmail,MERSİN,15/04/2025,3
9397,Hatice,BATMAN,29/10/2025,4
9398,Yusuf,BAYBURT,07/11/2025,3
9399,Büşra,SAMSUN,23/06/2025,4
9400,Rabia,KAHRAMANMARAŞ,03/10/2025,4
9401,Sevim,BİLECİK,03/05/2025,3
9402,Zeynep,ERZİNCAN,24/11/2025,3
9403,Murat,NİĞDE,05/10/2025,3
9404,Hatice,UŞAK,23/08/2025,2
9405,Halil,OSMANİYE,23/11/2025,2
9406,Süleyman,MALATYA,25/03/2026,4
9407,Aysel,GİRESUN,09/09/2025,4
9408,Ramazan,RİZE,23/12/2025,3
9409,Meryem,DENİZLİ,23/09/2025,2
9410,Fatma,ÇANKIRI,28/12/2025,4
9411,Serkan,SAMSUN,20/08/2025,1
9412,Yasin,YALOVA,14/01/2026,1
9413,Ayşegül,SİİRT,16/04/2025,3
9414,Kadir,İSTANBUL,05/02/2026,1
9415,Fatih,BİNGÖL,17/05/2025,2
9416,Osman,HAKKARİ,11/12/2025,3
9417,Mehmet,MARDİN,27/02/2026,1
9418,Emine,MARDİN,11/12/2025,4
9419,Yusuf,ADANA,02/02/2026,1
9420,Fadime,İZMİR,04/11/2025,2
9421,Rabia,SAMSUN,21/07/2025,2
9422,Metin,ANKARA,21/05/2025,4
9423,Hüseyin,KOCAELİ,24/03/2026,2
9424,Meryem,ARTVİN,12/07/2025,2
9425,Aysel,KARABÜK,11/07/2025,4
9426,Yasemin,AKSARAY,26/12/2025,1
9427,Mehmet,BARTIN,12/01/2026,3
9428,Ahmet,ARTVİN,24/08/2025,1
9429,İbrahim,ISPARTA,03/01/2026,4
9430,Mustafa,ÇANAKKALE,19/12/2025,3
9431,Esra,TUNCELİ,02/08/2025,1
9432,Fadime,ELAZIĞ,26/04/2025,2
9433,Süleyman,SAKARYA,26/09/2025,3
9434,Metin,ARTVİN,01/11/2025,3
9435,Kübra,KOCAELİ,17/03/2026,2
9436,Yusuf,SİVAS,28/02/2026,2
9437,Emine,NEVŞEHİR,02/09/2025,2
9438,Hakan,ÇORUM,27/10/2025,1
9439,Ömer,SİİRT,25/11/2025,3
9440,Merve,ELAZIĞ,13/08/2025,4
9441,Fadime,AKSARAY,06/09/2025,4
9442,Ahmet,KIRKLARELİ,01/02/2026,1
9443,Özlem,ORDU,17/04/2025,2
9444,Yusuf,ISPARTA,16/09/2025,3
9445,Mahmut,KARABÜK,01/12/2025,1
9446,Abdullah,ÇANAKKALE,26/10/2025,3
9447,Fatma,OSMANİYE,20/02/2026,3
9448,Murat,ÇANKIRI,27/06/2025,1
9449,Muhammed,BARTIN,21/08/2025,1
9450,Osman,KAYSERİ,16/12/2025,4
9451,Fatma,MALATYA,05/12/2025,3
9452,Aysel,ARTVİN,22/02/2026,3
9453,Ömer,AMASYA,12/07/2025,3
9454,Songül,GÜMÜŞHANE,14/11/2025,3
9455,Fatih,ARTVİN,21/07/2025,1
9456,Osman,NEVŞEHİR,25/05/2025,2
9457,Kadir,BİTLİS,15/08/2025,1
9458,Meryem,KIRKLARELİ,28/02/2026,3
9459,Emre,NİĞDE,11/01/2026,4
9460,Recep,MERSİN,15/06/2025,3
9461,Fatih,ZONGULDAK,18/10/2025,4
9462,Sultan,AKSARAY,04/06/2025,4
9463,Muhammed,KAHRAMANMARAŞ,10/09/2025,3
9464,Hatice,HATAY,15/08/2025,2
9465,Ayşe,KASTAMONU,30/08/2025,3
9466,Ayşe,KARAMAN,11/06/2025,1
9467,Burak,TRABZON,16/01/2026,2
9468,Recep,ŞANLIURFA,05/01/2026,1
9469,Fadime,MARDİN,19/07/2025,2
9470,Süleyman,TOKAT,15/11/2025,3
9471,Özlem,KAHRAMANMARAŞ,29/03/2026,1
9472,Sultan,GÜMÜŞHANE,11/09/2025,4
9473,Süleyman,ZONGULDAK,03/09/2025,3
9474,İsmail,BAYBURT,05/05/2025,3
9475,Ahmet,ADANA,12/05/2025,4
9476,Sultan,BİNGÖL,22/09/2025,2
9477,Emre,TEKİRDAĞ,10/05/2025,4
9478,Ramazan,EDİRNE,26/07/2025,4
9479,Ali,HAKKARİ,28/10/2025,2
9480,Muhammed,MERSİN,01/03/2026,4
9481,Kübra,İSTANBUL,01/12/2025,1
9482,Ahmet,DİYARBAKIR,31/07/2025,4
9483,Kübra,DENİZLİ,11/06/2025,1
9484,Hasan,BATMAN,03/08/2025,1
9485,Songül,AFYONKARAHİSAR,23/09/2025,4
9486,Kadir,VAN,11/11/2025,2
9487,Murat,AKSARAY,31/03/2026,4
9488,Süleyman,MUŞ,13/08/2025,1
9489,Mahmut,ÇORUM,30/11/2025,1
